Week,DC,Cat_Desc,VENDOR_NAME,FCST_Ceiling,Domestic_Import,Temp Range,Case_Pallet,Speed,Service,Revised
12103,7095,BLACKBERRIES,RED BLOSSOM SALES INC,20,DOMESTIC,34,Case,Yes,,23/12/20
12048,3699,BLACKBERRIES,DOMESTIC,59,DOMESTIC,34,Pallet,Yes,,23/12/20
12048,4867,BLACKBERRIES,DOMESTIC,54,DOMESTIC,34,Pallet,Yes,,23/12/20
12049,3699,BLACKBERRIES,DOMESTIC,59,DOMESTIC,34,Pallet,Yes,,23/12/20
12049,4867,BLACKBERRIES,DOMESTIC,54,DOMESTIC,34,Pallet,Yes,,23/12/20
12050,3699,BLACKBERRIES,DOMESTIC,59,DOMESTIC,34,Pallet,Yes,,23/12/20
12050,4867,BLACKBERRIES,DOMESTIC,54,DOMESTIC,34,Pallet,Yes,,23/12/20
12051,3699,BLACKBERRIES,DOMESTIC,59,DOMESTIC,34,Pallet,Yes,,23/12/20
12051,4867,BLACKBERRIES,DOMESTIC,54,DOMESTIC,34,Pallet,Yes,,23/12/20
12052,3699,BLACKBERRIES,DOMESTIC,59,DOMESTIC,34,Pallet,Yes,,23/12/20
12052,4867,BLACKBERRIES,DOMESTIC,54,DOMESTIC,34,Pallet,Yes,,23/12/20
12101,3699,BLACKBERRIES,DOMESTIC,59,DOMESTIC,34,Pallet,Yes,,23/12/20
12101,4867,BLACKBERRIES,DOMESTIC,54,DOMESTIC,34,Pallet,Yes,,23/12/20
12102,3699,BLACKBERRIES,DOMESTIC,59,DOMESTIC,34,Pallet,Yes,,23/12/20
12102,4867,BLACKBERRIES,DOMESTIC,54,DOMESTIC,34,Pallet,Yes,,23/12/20
12103,3699,BLACKBERRIES,DOMESTIC,59,DOMESTIC,34,Pallet,Yes,,23/12/20
12103,4867,BLACKBERRIES,DOMESTIC,54,DOMESTIC,34,Pallet,Yes,,23/12/20
12048,3699,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,100,IMPORT,34,Pallet,Yes,,23/12/20
12048,7095,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,140,IMPORT,34,Case,Yes,,23/12/20
12049,3699,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,120,IMPORT,34,Pallet,Yes,,23/12/20
12049,7095,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,141,IMPORT,34,Case,Yes,,23/12/20
12050,3699,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,120,IMPORT,34,Pallet,Yes,,23/12/20
12050,7095,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,142,IMPORT,34,Case,Yes,,23/12/20
12051,3699,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,140,IMPORT,34,Pallet,Yes,,23/12/20
12051,7095,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,142,IMPORT,34,Case,Yes,,23/12/20
12052,3699,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,100,IMPORT,34,Pallet,Yes,,23/12/20
12052,7095,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,140,IMPORT,34,Case,Yes,,23/12/20
12101,3699,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,60,IMPORT,34,Pallet,Yes,,23/12/20
12101,7095,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,141,IMPORT,34,Case,Yes,,23/12/20
12102,3699,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,61,IMPORT,34,Pallet,Yes,,23/12/20
12102,7095,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,140,IMPORT,34,Case,Yes,,23/12/20
12103,3699,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,61,IMPORT,34,Pallet,Yes,,23/12/20
12103,7095,BLUEBERRIES,IMPORT-IMPORT PRODUCE PROGRAM,109,IMPORT,34,Case,Yes,,23/12/20
12101,4867,BLUEBERRIES,IMPORT,382,IMPORT,34,Pallet,Yes,Fumigation ,23/12/20
12102,4867,BLUEBERRIES,IMPORT,362,IMPORT,34,Pallet,Yes,Fumigation ,23/12/20
12103,4867,BLUEBERRIES,IMPORT,371,IMPORT,34,Pallet,Yes,Fumigation ,23/12/20
12048,4867,BLUEBERRIES,DOMESTIC,47,DOMESTIC,34,Case,Yes,,23/12/20
12049,4867,BLUEBERRIES,DOMESTIC,47,DOMESTIC,34,Case,Yes,,23/12/20
12050,4867,BLUEBERRIES,DOMESTIC,47,DOMESTIC,34,Case,Yes,,23/12/20
12051,4867,BLUEBERRIES,DOMESTIC,47,DOMESTIC,34,Case,Yes,,23/12/20
12052,4867,BLUEBERRIES,DOMESTIC,47,DOMESTIC,34,Case,Yes,,23/12/20
12101,4867,BLUEBERRIES,DOMESTIC,47,DOMESTIC,34,Case,Yes,,23/12/20
12102,4867,BLUEBERRIES,DOMESTIC,47,DOMESTIC,34,Case,Yes,,23/12/20
12103,4867,BLUEBERRIES,DOMESTIC,47,DOMESTIC,34,Case,Yes,,23/12/20
12048,7095,BROCCOLI,Import,175,Import,34,Pallet,Yes,,23/12/20
12049,7095,BROCCOLI,Import,175,Import,34,Pallet,Yes,,23/12/20
12050,7095,BROCCOLI,Import,75,Import,34,Pallet,Yes,,23/12/20
12051,7095,BROCCOLI,Import,75,Import,34,Pallet,Yes,,23/12/20
12052,7095,BROCCOLI,Import,75,Import,34,Pallet,Yes,,23/12/20
12049,4867,CANTALOUPES,IMPORT-IMPORT PRODUCE PROGRAM,35,IMPORT,34,Pallet,,,23/12/20
12050,4867,CANTALOUPES,IMPORT-IMPORT PRODUCE PROGRAM,39,IMPORT,34,Pallet,,,23/12/20
12051,4867,CANTALOUPES,IMPORT-IMPORT PRODUCE PROGRAM,40,IMPORT,34,Pallet,,,23/12/20
12052,4867,CANTALOUPES,IMPORT-IMPORT PRODUCE PROGRAM,40,IMPORT,34,Pallet,,,23/12/20
12101,4867,CANTALOUPES,IMPORT-IMPORT PRODUCE PROGRAM,44,IMPORT,34,Pallet,,,23/12/20
12102,4867,CANTALOUPES,IMPORT-IMPORT PRODUCE PROGRAM,45,IMPORT,34,Pallet,,,23/12/20
12103,4867,CANTALOUPES,IMPORT-IMPORT PRODUCE PROGRAM,45,IMPORT,34,Pallet,,,23/12/20
12048,7095,CAULIFLOWER,Import,103,Import,34,Pallet,Yes,,23/12/20
12049,7095,CAULIFLOWER,Import,103,Import,34,Pallet,Yes,,23/12/20
12050,7095,CAULIFLOWER,Import,52,Import,34,Pallet,Yes,,23/12/20
12051,7095,CAULIFLOWER,Import,63,Import,34,Pallet,Yes,,23/12/20
12052,7095,CAULIFLOWER,Import,52,Import,34,Pallet,Yes,,23/12/20
12048,7095,CELERY,Import,198,Import,34,Pallet,Yes,,23/12/20
12049,7095,CELERY,Import,198,Import,34,Pallet,Yes,,23/12/20
12050,7095,CELERY,Import,126,Import,34,Pallet,Yes,,23/12/20
12051,7095,CELERY,Import,136,Import,34,Pallet,Yes,,23/12/20
12052,7095,CELERY,Import,126,Import,34,Pallet,Yes,,23/12/20
12048,7095,CHERRIES,IMPORT,20,IMPORT,34,Pallet,,,23/12/20
12049,7095,CHERRIES,IMPORT,20,IMPORT,34,Pallet,,,23/12/20
12050,7095,CHERRIES,IMPORT,20,IMPORT,34,Pallet,,,23/12/20
12051,7095,CHERRIES,IMPORT,20,IMPORT,34,Pallet,,,23/12/20
12052,7095,CHERRIES,IMPORT,20,IMPORT,34,Pallet,,,23/12/20
12101,7095,CHERRIES,IMPORT,17,IMPORT,34,Pallet,,,23/12/20
12102,7095,CHERRIES,IMPORT,17,IMPORT,34,Pallet,,,23/12/20
12103,7095,CHERRIES,IMPORT,12,IMPORT,34,Pallet,,,23/12/20
12048,7095,CHILIS,WORLD VARIETY PRODUCE INC,100,DOMESTIC,48,Case and Pallet,,,23/12/20
12049,7095,CHILIS,WORLD VARIETY PRODUCE INC,94,DOMESTIC,48,Case and Pallet,,,23/12/20
12050,7095,CHILIS,WORLD VARIETY PRODUCE INC,92,DOMESTIC,48,Case and Pallet,,,23/12/20
12051,7095,CHILIS,WORLD VARIETY PRODUCE INC,95,DOMESTIC,48,Case and Pallet,,,23/12/20
12052,7095,CHILIS,WORLD VARIETY PRODUCE INC,92,DOMESTIC,48,Case and Pallet,,,23/12/20
12101,7095,CHILIS,WORLD VARIETY PRODUCE INC,103,DOMESTIC,48,Case and Pallet,,,23/12/20
12102,7095,CHILIS,WORLD VARIETY PRODUCE INC,108,DOMESTIC,48,Case and Pallet,,,23/12/20
12103,7095,CHILIS,WORLD VARIETY PRODUCE INC,91,DOMESTIC,48,Case and Pallet,,,23/12/20
12048,7095,CILANTRO,,30,DOMESTIC,34,Pallet,,,23/12/20
12049,7095,CILANTRO,,30,DOMESTIC,34,Pallet,,,23/12/20
12050,7095,CILANTRO,,30,DOMESTIC,34,Pallet,,,23/12/20
12051,7095,CILANTRO,,30,DOMESTIC,34,Pallet,,,23/12/20
12052,7095,CILANTRO,,30,DOMESTIC,34,Pallet,,,23/12/20
12101,7095,CILANTRO,,30,DOMESTIC,34,Pallet,,,23/12/20
12102,7095,CILANTRO,,30,DOMESTIC,34,Pallet,,,23/12/20
12103,7095,CILANTRO,,30,DOMESTIC,34,Pallet,,,23/12/20
12048,3699,CORN,TWIN GARDEN SALES INC,89,DOMESTIC,34,Case,,,23/12/20
12048,4867,CORN,PIONEER GROWERS COOPERATIVE,30,DOMESTIC,34,Pallet,,,23/12/20
12048,7095,CORN,FIVE CROWNS INC,92,DOMESTIC,34,Case,,,23/12/20
12049,3699,CORN,TWIN GARDEN SALES INC,91,DOMESTIC,34,Case,,,23/12/20
12049,4867,CORN,PIONEER GROWERS COOPERATIVE,31,DOMESTIC,34,Pallet,,,23/12/20
12049,7095,CORN,FIVE CROWNS INC,93,DOMESTIC,34,Case,,,23/12/20
12050,3699,CORN,TWIN GARDEN SALES INC,94,DOMESTIC,34,Case,,,23/12/20
12050,4867,CORN,PIONEER GROWERS COOPERATIVE,31,DOMESTIC,34,Pallet,,,23/12/20
12050,7095,CORN,FIVE CROWNS INC,95,DOMESTIC,34,Case,,,23/12/20
12051,3699,CORN,TWIN GARDEN SALES INC,84,DOMESTIC,34,Case,,,23/12/20
12051,4867,CORN,PIONEER GROWERS COOPERATIVE,28,DOMESTIC,34,Pallet,,,23/12/20
12051,7095,CORN,FIVE CROWNS INC,85,DOMESTIC,34,Case,,,23/12/20
12052,3699,CORN,TWIN GARDEN SALES INC,85,DOMESTIC,34,Case,,,23/12/20
12052,4867,CORN,PIONEER GROWERS COOPERATIVE,28,DOMESTIC,34,Pallet,,,23/12/20
12052,7095,CORN,FIVE CROWNS INC,86,DOMESTIC,34,Case,,,23/12/20
12101,3699,CORN,TWIN GARDEN SALES INC,90,DOMESTIC,34,Case,,,23/12/20
12101,4867,CORN,PIONEER GROWERS COOPERATIVE,29,DOMESTIC,34,Pallet,,,23/12/20
12101,7095,CORN,FIVE CROWNS INC,91,DOMESTIC,34,Case,,,23/12/20
12102,3699,CORN,TWIN GARDEN SALES INC,85,DOMESTIC,34,Case,,,23/12/20
12102,4867,CORN,PIONEER GROWERS COOPERATIVE,27,DOMESTIC,34,Pallet,,,23/12/20
12102,7095,CORN,FIVE CROWNS INC,92,DOMESTIC,34,Case,,,23/12/20
12103,3699,CORN,TWIN GARDEN SALES INC,96,DOMESTIC,34,Case,,,23/12/20
12103,4867,CORN,PIONEER GROWERS COOPERATIVE,31,DOMESTIC,34,Pallet,,,23/12/20
12103,7095,CORN,FIVE CROWNS INC,96,DOMESTIC,34,Case,,,23/12/20
12048,7095,CUCUMBERS,WILSON PRODUCE LLC,15,DOMESTIC,48,Case,,,23/12/20
12049,7095,CUCUMBERS,WILSON PRODUCE LLC,17,DOMESTIC,48,Case,,,23/12/20
12050,7095,CUCUMBERS,WILSON PRODUCE LLC,17,DOMESTIC,48,Case,,,23/12/20
12051,7095,CUCUMBERS,WILSON PRODUCE LLC,17,DOMESTIC,48,Case,,,23/12/20
12052,7095,CUCUMBERS,WILSON PRODUCE LLC,17,DOMESTIC,48,Case,,,23/12/20
12101,7095,CUCUMBERS,WILSON PRODUCE LLC,18,DOMESTIC,48,Case,,,23/12/20
12102,7095,CUCUMBERS,WILSON PRODUCE LLC,18,DOMESTIC,48,Case,,,23/12/20
12103,7095,CUCUMBERS,WILSON PRODUCE LLC,17,DOMESTIC,48,Case,,,23/12/20
12048,7095,CURLY PARSLEY,,12,DOMESTIC,34,Pallet,,,23/12/20
12049,7095,CURLY PARSLEY,,12,DOMESTIC,34,Pallet,,,23/12/20
12050,7095,CURLY PARSLEY,,12,DOMESTIC,34,Pallet,,,23/12/20
12051,7095,CURLY PARSLEY,,12,DOMESTIC,34,Pallet,,,23/12/20
12052,7095,CURLY PARSLEY,,12,DOMESTIC,34,Pallet,,,23/12/20
12101,7095,CURLY PARSLEY,,12,DOMESTIC,34,Pallet,,,23/12/20
12102,7095,CURLY PARSLEY,,12,DOMESTIC,34,Pallet,,,23/12/20
12103,7095,CURLY PARSLEY,,12,DOMESTIC,34,Pallet,,,23/12/20
12048,3699,ETHNIC ROOTS,W P PRODUCE CORP,22,DOMESTIC,34,Pallet,,,23/12/20
12048,4867,ETHNIC ROOTS,"J & C ENTERPRISES, INC",43,DOMESTIC,34,Pallet,,,23/12/20
12048,7095,ETHNIC ROOTS,FRESHWAY PRODUCE INC,8,DOMESTIC,34,Pallet,,,23/12/20
12049,3699,ETHNIC ROOTS,W P PRODUCE CORP,21,DOMESTIC,34,Pallet,,,23/12/20
12049,4867,ETHNIC ROOTS,"J & C ENTERPRISES, INC",41,DOMESTIC,34,Pallet,,,23/12/20
12049,7095,ETHNIC ROOTS,FRESHWAY PRODUCE INC,7,DOMESTIC,34,Pallet,,,23/12/20
12050,3699,ETHNIC ROOTS,W P PRODUCE CORP,20,DOMESTIC,34,Pallet,,,23/12/20
12050,4867,ETHNIC ROOTS,"J & C ENTERPRISES, INC",40,DOMESTIC,34,Pallet,,,23/12/20
12050,7095,ETHNIC ROOTS,FRESHWAY PRODUCE INC,7,DOMESTIC,34,Pallet,,,23/12/20
12051,3699,ETHNIC ROOTS,W P PRODUCE CORP,19,DOMESTIC,34,Pallet,,,23/12/20
12051,4867,ETHNIC ROOTS,"J & C ENTERPRISES, INC",40,DOMESTIC,34,Pallet,,,23/12/20
12051,7095,ETHNIC ROOTS,FRESHWAY PRODUCE INC,7,DOMESTIC,34,Pallet,,,23/12/20
12052,3699,ETHNIC ROOTS,W P PRODUCE CORP,19,DOMESTIC,34,Pallet,,,23/12/20
12052,4867,ETHNIC ROOTS,"J & C ENTERPRISES, INC",38,DOMESTIC,34,Pallet,,,23/12/20
12052,7095,ETHNIC ROOTS,FRESHWAY PRODUCE INC,7,DOMESTIC,34,Pallet,,,23/12/20
12101,3699,ETHNIC ROOTS,W P PRODUCE CORP,19,DOMESTIC,34,Pallet,,,23/12/20
12101,4867,ETHNIC ROOTS,"J & C ENTERPRISES, INC",39,DOMESTIC,34,Pallet,,,23/12/20
12101,7095,ETHNIC ROOTS,FRESHWAY PRODUCE INC,7,DOMESTIC,34,Pallet,,,23/12/20
12102,3699,ETHNIC ROOTS,W P PRODUCE CORP,19,DOMESTIC,34,Pallet,,,23/12/20
12102,4867,ETHNIC ROOTS,"J & C ENTERPRISES, INC",38,DOMESTIC,34,Pallet,,,23/12/20
12102,7095,ETHNIC ROOTS,FRESHWAY PRODUCE INC,7,DOMESTIC,34,Pallet,,,23/12/20
12103,3699,ETHNIC ROOTS,W P PRODUCE CORP,19,DOMESTIC,34,Pallet,,,23/12/20
12103,4867,ETHNIC ROOTS,"J & C ENTERPRISES, INC",39,DOMESTIC,34,Pallet,,,23/12/20
12103,7095,ETHNIC ROOTS,FRESHWAY PRODUCE INC,7,DOMESTIC,34,Pallet,,,23/12/20
12048,3699,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,487,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12048,4867,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,760,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12048,7095,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,681,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12049,3699,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,489,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12049,4867,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,741,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12049,7095,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,647,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12050,3699,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,484,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12050,4867,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,758,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12050,7095,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,630,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12051,3699,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,484,IMPORT,34,Pallet,,Cold Treatment,23/12/20
12051,4867,GRAPES,IMPORT-IMPORT PRODUCE PROGRAM,786,IMPORT,34,Pallet,,Cold Treatment,23/12/20
